Population,Year,Survival,L95,U95,records
West,2011,0.65,0.54,0.77,77
West,2012,0.52,0.33,0.72,50
West,2013,0.86,0.76,0.95,49
West,2014,0.65,0.43,0.88,18
West,2017,0.5,0.34,0.66,38
West,2018,0.35,0.2,0.49,43
West,2019,0.31,0.18,0.43,60
West,2021,0.53,0.32,0.75,27
East,2012,0.28,0.17,0.4,66
East,2013,0.29,0.18,0.41,68
East,2014,0.67,0.53,0.81,43
East,2017,0.18,0.05,0.31,37
East,2018,0.4,0.24,0.55,39
East,2019,0.42,0.26,0.57,41
East,2020,0.49,0.33,0.65,41
East,2021,0.52,0.31,0.74,21
Combined,2011,0.63,0.52,0.74,84
Combined,2012,0.39,0.29,0.5,116
Combined,2013,0.53,0.44,0.62,117
Combined,2014,0.67,0.55,0.79,61
Combined,2017,0.34,0.23,0.46,75
Combined,2018,0.37,0.26,0.48,82
Combined,2019,0.35,0.25,0.45,101
Combined,2020,0.49,0.33,0.65,41
Combined,2021,0.54,0.39,0.68,48
